idFermata,descrizioneFermata,latitudine,longitudine
02037102,"Via Bonomo, ang. via De Benedictis",41.1307,16.7987
02054101,"via Giaquinto, 6",41.1243,16.7936
01378006,"via Napoli ,114  S.Spirito",41.1629,16.7482
08294006,"Lung. IX Maggio Ang.Via Don C. Franco",41.1377,16.824
08291001,"C.so Italia di fronte al civ.139",41.118,16.8576
04171001,"Via  De Marinis, 9",41.0747,16.8702
02007101,"Via Alessandria, 1",41.1191,16.791
05252101,"via Fenicia, 6",41.0839,17.0018
07099C01,"Corso Cavour , Camera di commercio (cap)",41.1247,16.8724
09357102,"Via Melo, 57",41.1243,16.8712
02048002,"via C. Massa pal. A-B",41.1283,16.7859
05117001,"Via Complanare  Ovest ,87",41.0995,16.9333
04104001,"via Prov. Ceglie Adelfia, Distilleria",41.0433,16.8634
06249003,"via Fanelli , 218 di fronte Green Park",41.0911,16.8837
07324C00,"P.zza L.di Savoia, 7 (Capolinea)",41.1196,16.8739
02150107,"viale De Blasio ,Fincantieri",41.1114,16.7923
03507002," Via Torre Tresca ,8D2",41.0957,16.8479
03094002,"Via Santa Caterina, 32",41.0908,16.8231
05027103,"Via Bari, 31/A",41.0858,16.9953
03285101,"via G. Petroni, 19/C",41.1158,16.8687
04367C00,"via Don Nuzzi (Loseto) ,Capolinea",41.0451,16.8509
02315102,"viale Lindemann, di fronte Amiu",41.1196,16.8153
04513109,"Via Trisorio Liuzzi, fronte civ. 18",41.0787,16.8622
05510002,"via Toscanini, ang. Via Suglia",41.1041,16.9123
05336101,"Via M. Interesse, lato nord",41.0934,16.9593
05114106,"Via Complanare est, dist. Aero. militar",41.082,17.0205
02240103,"Viale Europa, di fronte ex deposito Agip",41.1242,16.8291
08441102,"Via Quintino Sella ,141",41.1215,16.8644
05063C00,"via  Caldarola ,Polivalente (Capolinea)",41.1025,16.91
04513007,"via Trisorio Liuzzi, Osp. di Venere",41.0766,16.8614
06009106,"via Amendola ,197/F Executive Rist",41.1024,16.8877
05118001,"Via Mimmo Conenna",41.1035,16.9326
08294102,"Lung. IX Maggio ,di fronte al civ, 36",41.1382,16.8217
01218102,"Via L. del Turco, 3 - Scuola",41.1521,16.7536
03168002,"via De Laurentis ,14",41.0952,16.8643
05060102,"via Caduti Partigiani, A/44",41.1085,16.8955
02002101,"via Accolti Gil ,Levantauto ",41.1201,16.8122
01384103,"Via Nazionale , villaggio Miglia ",41.1547,16.7708
08156001,"Via De Cristoforis, di fronte Tamoil",41.1241,16.8562
01096102,"str.Catino Enziteto fronte Stadio Comun.",41.153,16.7345
03270002,"via Bellomo ,di fronte al 99",41.0996,16.8455
01143001,"via D'Annunzio, (Carcere Militare)",41.1358,16.7787
02002003,"viale Accolti Gil ,Tabacchificio",41.1201,16.8125
08192101,"corso Della Carboneria, difronte 8",41.1251,16.8513
01096002,"strada  Catino,22-",41.1589,16.7402
05414101,"Via  Papalia ,12",41.1065,16.9042
04162003,"Corso A. De Gasperi, 334",41.0858,16.869
06473001,"Via Salvemini - Case Popolari",41.1068,16.8811
07381102,"lung. N. Sauro, di fronte INPS",41.1206,16.885
05399103,"Via Oberdan, 17/A",41.1177,16.8807
05368101,"Via Morelli e Silvati, 12",41.0848,17.002
05027003,"via Bari di fronte al Civ 17",41.0855,16.9974
06009104,"via Amendola ,Ist. Prov. Dell'Infanzia",41.106,16.886
10205001,"via Delle Magnolie Univ. Agraria",41.1091,16.7554
01378004,"Via Napoli, 178/D",41.1642,16.7427
02057101,"via Cacudi ,di fronte ist Scolastico",41.1291,16.7945
05508001,"Via Torrente Valenzano , di fronte A/17",41.108,16.9002
02024004,"via B. Buozzi ,68",41.1123,16.8298
08546004,"Via Van Westerhout fronte Hotel Pineta",41.1349,16.8312
01310C01,"via della lealtà CAP (61)",41.1486,16.7371
07099003,"C.so Cavour, Camera di Commercio",41.1249,16.8724
05563001,"via dei Trulli ex Rist. Piccadilly",41.0882,17.0034
01052101,"Via Caputo, 21/A",41.1523,16.763
07381003,"Lung N. Sauro, Forestale",41.1194,16.8887
02301102,"Via la Rotella di fronte Conc. Peugeot",41.1233,16.8227
03411101,"viale  Pio XII, ex cotugno",41.1056,16.8598
06447103,"via Re David ,193/R ang. Via Toma",41.1088,16.877
03433104,"Interno Policlinico ex P.S.",41.1128,16.8613
08291002,"C.so Italia ang. Via Eritrea",41.1183,16.8625
08478003,"Strada S. Girolamo, 14",41.1358,16.8229
04528005,"Via  Umberto 1° ,94",41.0643,16.8688
02301001,"via La Rotella, Conc. Peugeot",41.1233,16.8229
05114101,"Via Complanare  Est, 132",41.095,16.9451
08267001,"Piazza Garibaldi ,42",41.1254,16.8629
02150006,"viale De Blasio, di fronte ITALVERNICI",41.1162,16.8126
08276001,"Via Giordano, 22/A",41.1361,16.8349
02240001,"viale Europa di fronte Caserma GdF",41.1339,16.7867
03279002,"via Giovanni XXIII, Carcere minorile",41.1071,16.8682
04513010,"Via Trisorio Liuzzi, civ. 18",41.0789,16.8623
10207001,"via   Delle Ortensie ex Altecna",41.1031,16.7782
02408003,"Via Pacifico Mazzoni ,ang. Ciusa",41.1268,16.8025
08084102,"Via Caracciolo ,ex Scianatico",41.1295,16.8442
02246001,"via F.lli Philips ,di fronte BCE Sud",41.1132,16.8056
05078103,"via Carabellese ,di fronte 36",41.106,16.9061
01135105,"Lung. C. Colombo , di fronte S. Tropez",41.1691,16.7343
04426101,"via Perrone ,11",41.044,16.8503
02564101,"via Zippitelli,di fronte ex graf.Laterza",41.116,16.8223
04513101,"Via Trisorio Liuzzi di fronte Stazion CC",41.081,16.8634
04093101,"via Cascia ,di fronte al 14",41.0674,16.8558
05399001,"Via Oberdan 40/O",41.1177,16.8806
03299001,"via R. Kennedy, difronte 1/E",41.1009,16.8592
01135106,"Lung. C. Colombo - Porticciolo",41.1603,16.7681
07222101,"lung.di Crollalanza,di fronte P.zza Diaz",41.1226,16.8786
01096003,"str.Catino(Q.re S.Pio) Stadio Comun.",41.1532,16.7345
02024003,"via B. Buozzi Concessionaria Mercedes",41.1104,16.8268
05216102,"Strada detta Della Marina ,di f. al 36/A",41.0941,16.979
05489101,"via Scizze P.co Atlantide",41.09,16.988
01378109,"via Napoli 215/A",41.1649,16.7394
08229001,"Via  Di Maratona,  ang. via Mascagni",41.1299,16.838
03237102,"Viale Ennio, difrontre al Civ. 76",41.1135,16.8616
08126105,"via Crisanzio, Ist. Scolastico Civ 185",41.119,16.8559
01259001,"Strada Fontanelle - fronte 7",41.1591,16.7727
01339101,"Via Macchie, 98",41.1469,16.7762
06162107,"Corso Alcide De Gasperi ,421",41.0946,16.8706
08294104,"Lung. IX Maggio ,di fronte al civ. 68",41.1396,16.8143
02242101,"Var.di V.le Europa fronte ex Hettermarks",41.1243,16.8225
01384003,"Via Nazionale Ponte Tangenziale",41.1531,16.7738
09351C01,"Bari, Piazza Giuseppe Massari 12",41.1266,16.8661
02240003,"viale Europa ,ang.Granieri",41.127,16.7973
02002002,"viale Accolti Gil ,di fronte AMGAS",41.1197,16.8096
03075101,"Via Capruzzi di fronte al 236",41.1168,16.8668
03232001,"Via Don Guanella(Hotel)",41.0952,16.8619
03285110,"via G. Petroni ,107",41.0961,16.8675
08561107,"Corso Vitt.Veneto ex parch. Multiservizi",41.128,16.855
08561007,"C.so Vitt.Veneto fronte ex parch.Multise",41.128,16.8551
04285001,"via Giulio Petroni ,132/F",41.0855,16.8652
05342001,"via  Magna Grecia 16",41.1109,16.8911
02206102,"Via delle Mimose di fronte Amenduni",41.1036,16.7894
06235105,"viale Einaudi ,2/A",41.1006,16.8723
08378001,"Via  Napoli  (ex  Casa  Cantoniera)",41.1356,16.8118
01378111,"Via Napoli fronte civ.234/E",41.1661,16.7336
01135104,"Lung. C. Colombo ,Ristorante San Michele",41.1686,16.7388
06061101,"Via Caduti del Lavoro",41.09,16.8995
06499101,"Viale Sturzo, 38",41.107,16.8733
02206101,"Via Delle Mimose di fronte Agrilevante",41.1087,16.7887
03417001,"viale Pasteur ang. Via F. Chieco",41.1114,16.8531
01250101,"Via della felicità civ A/1",41.1469,16.7377
07222002,"lung Di Crollalanza ,P.zza Diaz",41.1226,16.8787
02549001,"Via Veneto, 9",41.1211,16.7896
08441104,"Via Quintino Sella, 209",41.1199,16.8646
10465101,"Str. Prov. 54 Modugno CMP",41.1087,16.7728
10213101,"Via delle Violette fronte TIM",41.1049,16.7673
06249002,"via Fanelli ,224",41.088,16.8844
03285008,"via Giulio Petroni, Carcere Minorile",41.1062,16.8676
02360001,"via Miglionico, di fronte al Civ 4",41.1234,16.7969
07090002,"via Carulli, 99",41.1204,16.8784
08039002,"Via B.Regina fronte civ.138",41.1286,16.8514
03313101,"Via Ruggiero Leoncavallo 35",41.1383,16.8174
03158101,"Via Biagio Grimaldi 11",41.1377,16.8206
03393103,"Viale Orazio Flacco ex Cotugno",41.1059,16.8593
09217003,"Corso De Tullio Castello",41.1289,16.8653
08132001,"Via Crispi ,slargo M. Pagano",41.1212,16.8498
02054001,"via Giaquinto ,angolo Barisano da Trani",41.1243,16.7935
06009003,"via Amendola, 176",41.0997,16.889
05111101,"via Colonna ang. Via della rosa azzurra",41.088,16.9896
09099C01,"Corso Cavour-Caval.  XX Settembre(Capol)",41.1193,16.8727
05273104,"Via Gentile, 52/D",41.1066,16.9149
06244002,"Via Falcone e Borsellino fronte civ.15",41.0995,16.8736
06162006,"Corso A. De Gasperi, 296",41.0978,16.871
03417102,"Viale Pasteur ingr. Carrefour",41.1109,16.8531
01218103,"Via L. del Turco, 1/F",41.1521,16.7578
01201001,"Via delle Azalee ,1/3",41.1588,16.7385
08329105,"Via Manzoni, civ. 169",41.121,16.8612
03285006,"via Giulio Petroni,104/G",41.1015,16.8671
01384002,"Via Nazionale (Palese) Park Hotel",41.1552,16.7698
05342102,"via Magna Grecia ,91",41.1108,16.8911
01339103,"Via Macchie - Chiesa",41.1467,16.7722
05282102,"lung. A. Giovine ,di fronte al 61/2",41.1008,16.9501
02030101,"via Barisano da Trani ,di fronte al 19",41.1256,16.7958
09369C00,"Piazza  Moro ,Capolinea",41.1183,16.8695
08561004,"Corso Vitt. Veneto , anagrafe",41.1286,16.8633
08354001,"C.so Mazzini ,ex capolinea",41.1253,16.8542
02240101,"Viale Europa ,angolo Buozzi",41.1182,16.8396
09357101,"Via Melo, 217",41.1197,16.8717
05282004,"lung A. Giovine, 51",41.1023,16.9465
08454001,"Via Romito ,svincolo tangenziale",41.1383,16.8088
05432103,"Via Peucetia , ang. Magna Grecia",41.1127,16.8935
02543001,"Via Val d'Aosta ,ex capolinea",41.1184,16.788
08504001,"via T.so Fiore ,74",41.1259,16.8477
04528003,"Via  Umberto 1° ,224",41.061,16.8693
02037001,"Via Bonomo, ang. via De Benedictis",41.1307,16.7988
02002102,"via Accolti Gil, Amgas",41.1197,16.8097
03417003," Viale Pasteur, 19",41.1133,16.8529
