took,timed_out,_shards_total,_shards_successful,_shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_Data_buono,hits_hits__source_Id_buono,hits_hits__source_Id_distributore,hits_hits__source_Data_registraz,hits_hits__source_Tipo_buono,hits_hits__source_Id_bene,hits_hits__source_Qta_carburante,hits_hits__source_Km_percor,hits_hits__source_Km_attuali,hits_hits__source_Km_contakm,hits_hits__source_Prz_unit_carbur,hits_hits__source_Forzatura_ContaKM,hits_hits__source_Cambio_olio,hits_hits__source_KmCalcolati,hits_hits__source_KmInseriti,hits_hits__source_FuoriRange,hits_hits__source_ConsumoMedioBuonoCorrente,hits_hits__source_UltimoOperatore,hits_hits__source_UltimaModifica,hits_hits__source_Ora_buono,hits_hits__source_Data_quadratura,hits_hits__source_IdMovMag,hits_hits__source_IdRiga,hits_hits__source_Importato_Dal_Noleggio,hits_hits__source_Qta_quadratura,hits_hits__source_Trasferito,hits_hits__source_Id_Cliente,hits_hits__source_Ore_Incremento,hits_hits__source_Ore_Vita,hits_hits__source_Ore_ContaOre,hits_hits__source_ConsumoMedioOreBuonoCorrente,hits_hits__source_Tipo_Inserimento_Ore,hits_hits__source_Tipo_Inserimento_Km,hits_hits__source_FuoriRangeOre,hits_hits__source_Importato_Plus,hits_hits__source_Tipo_rilevazione,hits_hits__source_modello,hits_hits__source_riferimento
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1237981534_1482125893_1480052",1.0,"2017-11-03T07:28:48.000+01:00",258604.0,"01_2","2017-11-13T07:28:48.000+01:00","P",3016.0,180.1,396.0,751284.0,735405.0,0.0,false,false,735405.0,735405.0,false,2.2,"nl","2017-11-13T07:28:52.000+01:00","1899-12-30T07:28:48.000+01:00","2017-11-13T01:00:00.000+01:00",25169.0,1.0,false,0.1,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 160 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1641222615_1482125952_1480052",1.0,"2017-11-03T07:30:24.000+01:00",258621.0,"01_2","2017-11-13T07:30:24.000+01:00","P",7011.0,57.0,125.0,255359.0,255359.0,0.0,false,false,255359.0,255359.0,false,2.192,"nl","2017-11-13T07:30:30.000+01:00","1899-12-30T07:30:24.000+01:00","2017-11-13T01:00:00.000+01:00",25169.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 367 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-110010740_1482125955_1480052",1.0,"2017-11-03T07:30:38.000+01:00",258624.0,"01_2","2017-11-13T07:30:39.000+01:00","P",7022.0,24.0,52.0,1074619.0,1074619.0,0.0,false,false,1074619.0,1074619.0,false,2.165,"nl","2017-11-13T07:30:44.000+01:00","1899-12-30T07:30:38.000+01:00","2017-11-13T01:00:00.000+01:00",25169.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 378 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1777879380_1482125957_1480052",1.0,"2017-11-03T07:30:49.000+01:00",258626.0,"01_2","2017-11-13T07:30:49.000+01:00","P",3031.0,113.0,248.0,50736.0,50736.0,0.0,false,false,50736.0,50736.0,false,2.193,"nl","2017-11-13T07:30:53.000+01:00","1899-12-30T07:30:49.000+01:00","2017-11-13T01:00:00.000+01:00",25169.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 175 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","998105216_1482125185_1480051",1.0,"2017-11-03T07:26:55.000+01:00",258589.0,"01_1","2017-11-13T07:26:55.000+01:00","P",7008.0,149.0,327.0,696866.0,696866.0,0.0,false,false,696866.0,696866.0,false,2.193,"nl","2017-11-13T07:27:11.000+01:00","1899-12-30T07:26:55.000+01:00","2017-11-13T01:00:00.000+01:00",25168.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 177 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1865048832_1482125896_1480052",1.0,"2017-11-03T07:29:03.000+01:00",258607.0,"01_2","2017-11-13T07:29:03.000+01:00","P",7007.0,144.1,316.0,874370.0,874370.0,0.0,false,false,874370.0,874370.0,false,2.193,"nl","2017-11-13T07:29:09.000+01:00","1899-12-30T07:29:03.000+01:00","2017-11-13T01:00:00.000+01:00",25169.0,1.0,false,0.1,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 176 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-10171231_1482126111_1480051",1.0,"2017-11-04T07:38:58.000+01:00",258675.0,"01_1","2017-11-13T07:38:58.000+01:00","P",7001.0,116.0,255.0,730637.0,730637.0,0.0,false,false,730637.0,730637.0,false,2.197,"nl","2017-11-13T07:39:01.000+01:00","1899-12-30T07:38:58.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IVECO 491 E12.29","BY 170 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1860777408_1482126114_1480051",1.0,"2017-11-04T07:39:14.000+01:00",258678.0,"01_1","2017-11-13T07:39:14.000+01:00","P",7050.0,128.0,281.0,526960.0,526960.0,0.0,false,false,526960.0,526960.0,false,2.194,"nl","2017-11-13T07:39:17.000+01:00","1899-12-30T07:39:14.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 383 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-832744482_1482126082_1480051",1.0,"2017-11-04T07:38:11.000+01:00",258667.0,"01_1","2017-11-13T07:38:11.000+01:00","P",7035.0,130.0,286.0,859927.0,733913.0,0.0,false,false,733913.0,733913.0,false,2.2,"nl","2017-11-13T07:38:17.000+01:00","1899-12-30T07:38:11.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 368 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-526502107_1482126083_1480051",1.0,"2017-11-04T07:38:18.000+01:00",258668.0,"01_1","2017-11-13T07:38:18.000+01:00","P",3008.0,140.0,308.0,90127.0,90127.0,0.0,false,false,90127.0,90127.0,false,2.2,"nl","2017-11-13T07:38:21.000+01:00","1899-12-30T07:38:18.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DV 116 DG"
