took,timed_out,shards_total,shards_successful,shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_id_quartiere,hits_hits__source_id_municipio,hits_hits__source_id_circoscrizione,hits_hits__source_ora,hits_hits__source_id_corsa,hits_hits__source_totale_rilevazioni,hits_hits__source_id_data,hits_hits__source_municipio,hits_hits__source_quartiere,hits_hits__source_flag_amtab_mezzi,hits_hits__source_data,hits_hits__source_anno,hits_hits__source_data_anno
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_7_184038_20170317",1.0,12.0,1.0,140.0,7.0,"184038",2.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_5_184031_20170317",1.0,12.0,1.0,140.0,5.0,"184031",2.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","9_4_148_23_190917_20170317",1.0,9.0,4.0,148.0,23.0,"190917",2.0,2.0170317E7,"MUNICIPIO N.3","IX - STANIC",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_14_187017_20170317",1.0,5.0,3.0,139.0,14.0,"187017",1.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_227_22_185120_20170317",1.0,2.0,3.0,227.0,22.0,"185120",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_5_184851_20170317",1.0,5.0,3.0,139.0,5.0,"184851",1.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","6_5_176_17_185000_20170317",1.0,6.0,5.0,176.0,17.0,"185000",1.0,2.0170317E7,"MUNICIPIO N.2","VI - SAN PASQUALE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_9_184579_20170317",1.0,2.0,3.0,93.0,9.0,"184579",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","10_4_227_19_186969_20170317",1.0,10.0,4.0,227.0,19.0,"186969",1.0,2.0170317E7,"MUNICIPIO N.3","X  - MARCONI - SAN GIROLAMO - FESCA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","6_5_176_5_161084_20170317",1.0,6.0,5.0,176.0,5.0,"161084",1.0,2.0170317E7,"MUNICIPIO N.2","VI - SAN PASQUALE",1.0,"2017-03-17","2017","2017"
